rownum,bioassay_id,material_id,Material_type,Core_size,Method_core_size,Hydro_size,Method_hydro_size,Surface_charge,Method_surface_charge,Surface_area,Method_surface_area,Hsf,Ec,Ev,MeO,Assay,Cell_name,Cell_species,Cell_origin,Cell_type,Exposure_time,Exposure_dose,log_n_atoms_all,log_n_atoms_core,log_n_atoms_shell,log_n_Al_atoms_all,log_n_Al_atoms_core,log_n_Al_atoms_shell,log_n_O_atoms_all,log_n_O_atoms_core,log_n_O_atoms_shell,peng_avg_all,peng_avg_core,peng_avg_shell,Al_peng_avg_all,Al_peng_avg_core,Al_peng_avg_shell,O_peng_avg_all,O_peng_avg_core,O_peng_avg_shell,coordN_avg_all,coordN_avg_core,coordN_avg_shell,Al_coordN_avg_all,Al_coordN_avg_core,Al_coordN_avg_shell,O_coordN_avg_all,O_coordN_avg_core,O_coordN_avg_shell,NP_diameter,NP_surface_area,NP_volume,Lattice_energy_of_NP,E_L_bulk-E_L_NP,Lattice_energy_of_NP_d_NP,Lattice_energy_of_NP_S_NP,Lattice_energy_of_NP_V_NP,force_vector_length_avg_all,force_vector_length_avg_core,force_vector_length_avg_shell,Al_force_vector_length_coordN_avg_all,Al_force_vector_length_coordN_avg_core,Al_force_vector_length_coordN_avg_shell,O_force_vector_length_avg_all,O_force_vector_length_avg_core,O_force_vector_length_avg_shell,force_vector_surface_normal_component_avg_all,force_vector_surface_normal_component_avg_core,force_vector_surface_normal_component_avg_shell,Al_force_vector_surface_normal_component_coordN_avg_all,Al_force_vector_surface_normal_component_coordN_avg_core,Al_force_vector_surface_normal_component_coordN_avg_shell,O_force_vector_surface_normal_component_avg_all,O_force_vector_surface_normal_component_avg_core,O_force_vector_surface_normal_component_avg_shell,force_vector_surface_tangent_component_avg_all,force_vector_surface_tangent_component_avg_core,force_vector_surface_tangent_component_avg_shell,Al_force_vector_surface_tangent_component_coordN_avg_all,Al_force_vector_surface_tangent_component_coordN_avg_core,Al_force_vector_surface_tangent_component_coordN_avg_shell,O_force_vector_surface_tangent_component_avg_all,O_force_vector_surface_tangent_component_avg_core,O_force_vector_surface_tangent_component_avg_shell,Viability
270,3,18,NiO,13.1,TEM,202.8,DLS,27.6,Zeta-potential,68.7,Estimation,-2.494,-3.57,-7.45,5.74,LDH,BEAS-2B,Human,Lung,Normal,24,0.4,5.114530923,5.009684553,4.445930969,4.813500927,4.709040878,4.143483211,4.813500927,4.708267893,4.146314122,-20.14713444,-20.25722506,-19.74394987,-20.04222594,-20.14681484,-19.65759585,-20.25204294,-20.36783197,-19.82974283,5.855933505,6.0,5.328319186,5.855933505,6,5.326122889,5.855933505,6.0,5.330501214,130.9567726,53877.25156,1175931.831,-100.7356722,-25.33950682,-0.769228427,-0.001869726,-8.56646e-05,0.435769214,0.000545216,2.029688839,0.441626741,0.000536973,2.063752984,0.429911686,45.33147083,63.05399724,0.006951764,-3.7282e-05,0.032547728,0.016305364,3.60503e-05,0.076136453,-0.002401836,0.000553473,1.995846017,0.309101395,0.000203883,1.440375885,0.31526697,0.000210109,1.473901877,0.302935819,-0.000110745,-0.010757791,88.0
271,1,19,Sb2O3,11.8,TEM,195.5,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,ATP,RAW264.7,Mouse,Blood,Cancer,24,50.0,4.695131298,4.580331833,4.061150781,4.297191289,4.182528775,3.662757832,4.473282548,4.358391759,3.839603729,-28.18987776,-28.48281563,-27.22169672,-43.97900143,-44.47790745,-42.32783941,-17.66379531,-17.81381467,-17.16841888,2.337974173,2.400126156,2.132557331,2.922467716,3,2.665869565,1.948311811,2.0,1.777633102,117.991915,43737.50506,860111.9968,-140.9493888,14.87420974,-1.194568193,-0.003222621,-0.000163873,8.924602387,8.741179765,9.530827539,15.82185427,15.89186748,15.59014095,4.326434469,40.49826092,56.56030825,-0.208234598,-0.001585567,-0.891224726,-0.416473249,-0.033878009,-1.682697148,-0.069408831,3.971548244,5.498298357,6.988130122,6.871431026,7.373829149,12.37350657,12.49286844,11.97847065,3.397879157,0.019954047,-0.364492501,88.0
272,2,26,SiO2,13.5,TEM,181.9,DLS,-31.8,Zeta-potential,640.0,Manufacturer,-9.41,-2.02,-11.12,6.19,ATP,BEAS-2B,Human,Lung,Normal,24,12.5,5.010944135,4.911344076,4.322570724,4.53382288,4.434680657,3.843668723,4.834852875,4.735023717,4.147367108,-42.37929788,-42.62097261,-41.44172595,-81.12556254,-81.57540621,-79.37138496,-23.00616555,-23.11292382,-22.59306278,2.618281457,2.667369841,2.427844126,3.927422186,4,3.644403039,1.963711093,2.0,1.823290598,134.9999318,57255.41991,1288246.297,-211.8964894,85.82131037,-1.569604418,-0.003700898,-0.000164484,2.98757024,2.536715159,4.736652844,2.243028612,1.490474356,5.177634268,3.359841054,46.88054087,65.06247613,-0.011661671,-0.000606362,-0.054550506,-0.237269926,-5.21625e-05,-1.162307002,0.101142456,3.060663648,4.517512715,2.270227733,1.992088916,3.349261301,1.592064122,1.17109268,3.233653635,2.609309539,-0.0008839,0.495935041,88.0
273,2,26,SiO2,13.5,TEM,181.9,DLS,-31.8,Zeta-potential,640.0,Manufacturer,-9.41,-2.02,-11.12,6.19,ATP,BEAS-2B,Human,Lung,Normal,24,200.0,5.010944135,4.911344076,4.322570724,4.53382288,4.434680657,3.843668723,4.834852875,4.735023717,4.147367108,-42.37929788,-42.62097261,-41.44172595,-81.12556254,-81.57540621,-79.37138496,-23.00616555,-23.11292382,-22.59306278,2.618281457,2.667369841,2.427844126,3.927422186,4,3.644403039,1.963711093,2.0,1.823290598,134.9999318,57255.41991,1288246.297,-211.8964894,85.82131037,-1.569604418,-0.003700898,-0.000164484,2.98757024,2.536715159,4.736652844,2.243028612,1.490474356,5.177634268,3.359841054,46.88054087,65.06247613,-0.011661671,-0.000606362,-0.054550506,-0.237269926,-5.21625e-05,-1.162307002,0.101142456,3.060663648,4.517512715,2.270227733,1.992088916,3.349261301,1.592064122,1.17109268,3.233653635,2.609309539,-0.0008839,0.495935041,88.0
274,4,3,ZnO,22.6,TEM,69.4,DLS,28.8,Zeta-potential,47.4,Estimation,-3.608,-3.89,-7.2,5.67,LDH,RAW264.7,Mouse,Blood,Cancer,24,6.3,5.705875681,5.646910271,4.809539514,5.404881589,5.345918463,4.508529719,5.404809778,5.345842085,4.508489318,-16.81298443,-16.83326004,-16.67355813,-16.72577798,-16.74503561,-16.5933464,-16.9002053,-16.92149999,-16.75377732,3.947721913,4.0,3.58822891,3.947395563,4,3.585643411,3.948048318,4.0,3.590814649,225.9988547,160458.2245,6043895.829,-84.06492215,-42.01025689,-0.371970567,-0.000523905,-1.39091e-05,0.243499186,0.083503833,1.343715615,0.246292657,0.083512293,1.365706722,0.240705254,80.99436017,110.5299126,0.107323148,0.000125176,0.844475623,0.110284775,0.000147432,0.867681349,0.104361032,0.083495372,1.321722462,0.152420273,0.065525795,0.749954702,0.153232263,0.065528786,0.756354795,0.151608149,0.000102915,0.821267738,88.3
275,1,8,CoO,71.8,TEM,191.6,DLS,21.6,Zeta-potential,13.0,Estimation,-2.476,-4.42,-6.83,5.74,ATP,RAW264.7,Mouse,Blood,Cancer,24,12.5,7.301299739,7.283009995,5.916610266,7.000269743,6.981961643,5.616006832,7.000269743,6.981998356,5.61515329,-20.00109892,-20.02140427,-19.52902486,-19.88095104,-19.90040678,-19.4290924,-20.1212468,-20.14239152,-19.62915391,5.973263012,6.0,5.351661281,5.973263012,6,5.352297763,5.973263012,6.0,5.351023547,717.9846115,1619495.621,193795489.1,-100.0054946,-26.06968442,-0.139286404,-6.1751e-05,-5.16036e-07,0.07422902,9.22341e-05,1.797817102,0.074270749,9.14928e-05,1.797080353,0.074187291,265.4971612,356.5077897,0.000444522,1.65593e-05,0.010394115,0.001888394,2.65428e-05,0.045129801,-0.000999351,9.29754e-05,1.798555299,0.050090457,2.91016e-05,1.213954728,0.050290965,2.90756e-05,1.217620895,0.04988995,6.57672e-06,-0.024409907,88.6
276,3,2,ZnO,22.6,TEM,114.7,DLS,28.8,Zeta-potential,47.4,Estimation,-3.608,-3.89,-7.2,5.67,LDH,BEAS-2B,Human,Lung,Normal,24,6.3,5.705875681,5.646910271,4.809539514,5.404881589,5.345918463,4.508529719,5.404809778,5.345842085,4.508489318,-16.81298443,-16.83326004,-16.67355813,-16.72577798,-16.74503561,-16.5933464,-16.9002053,-16.92149999,-16.75377732,3.947721913,4.0,3.58822891,3.947395563,4,3.585643411,3.948048318,4.0,3.590814649,225.9988547,160458.2245,6043895.829,-84.06492215,-42.01025689,-0.371970567,-0.000523905,-1.39091e-05,0.243499186,0.083503833,1.343715615,0.246292657,0.083512293,1.365706722,0.240705254,80.99436017,110.5299126,0.107323148,0.000125176,0.844475623,0.110284775,0.000147432,0.867681349,0.104361032,0.083495372,1.321722462,0.152420273,0.065525795,0.749954702,0.153232263,0.065528786,0.756354795,0.151608149,0.000102915,0.821267738,88.7
277,2,21,Al2O3,14.7,TEM,260.4,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,ATP,BEAS-2B,Human,Lung,Normal,24,0.8,5.291613017,5.199886762,4.571266162,4.893673008,4.80193853,4.173361117,5.069764267,4.978043494,4.349394101,-32.02490298,-32.19204227,-31.31418197,-47.40639411,-47.66535789,-46.30532027,-21.77057555,-21.87682403,-21.31874864,4.707322058,4.799984853,4.313295046,5.884152573,6,5.39158728,3.922768382,4.0,3.594337091,146.9992082,67885.88694,1663195.271,-160.1245149,34.04933585,-1.089288282,-0.002358731,-9.62752e-05,2.010726106,1.549341847,3.972655497,2.688118417,2.179887099,4.849039153,1.559131231,51.3832981,71.06705325,0.004251591,-8.11336e-05,0.022675497,-0.092211333,-0.000161027,-0.483594957,0.068560207,1.128991611,3.388321323,1.534082593,1.216586983,2.884158927,2.051294301,1.71162882,3.495499238,1.189274788,-2.78731e-05,0.360234424,89.0
278,1,22,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,ATP,RAW264.7,Mouse,Blood,Cancer,24,12.5,5.291613017,5.199886762,4.571266162,4.893673008,4.80193853,4.173361117,5.069764267,4.978043494,4.349394101,-32.02490298,-32.19204227,-31.31418197,-47.40639411,-47.66535789,-46.30532027,-21.77057555,-21.87682403,-21.31874864,4.707322058,4.799984853,4.313295046,5.884152573,6,5.39158728,3.922768382,4.0,3.594337091,146.9992082,67885.88694,1663195.271,-160.1245149,34.04933585,-1.089288282,-0.002358731,-9.62752e-05,2.010726106,1.549341847,3.972655497,2.688118417,2.179887099,4.849039153,1.559131231,51.3832981,71.06705325,0.004251591,-8.11336e-05,0.022675497,-0.092211333,-0.000161027,-0.483594957,0.068560207,1.128991611,3.388321323,1.534082593,1.216586983,2.884158927,2.051294301,1.71162882,3.495499238,1.189274788,-2.78731e-05,0.360234424,89.0
279,1,22,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,ATP,RAW264.7,Mouse,Blood,Cancer,24,25.0,5.291613017,5.199886762,4.571266162,4.893673008,4.80193853,4.173361117,5.069764267,4.978043494,4.349394101,-32.02490298,-32.19204227,-31.31418197,-47.40639411,-47.66535789,-46.30532027,-21.77057555,-21.87682403,-21.31874864,4.707322058,4.799984853,4.313295046,5.884152573,6,5.39158728,3.922768382,4.0,3.594337091,146.9992082,67885.88694,1663195.271,-160.1245149,34.04933585,-1.089288282,-0.002358731,-9.62752e-05,2.010726106,1.549341847,3.972655497,2.688118417,2.179887099,4.849039153,1.559131231,51.3832981,71.06705325,0.004251591,-8.11336e-05,0.022675497,-0.092211333,-0.000161027,-0.483594957,0.068560207,1.128991611,3.388321323,1.534082593,1.216586983,2.884158927,2.051294301,1.71162882,3.495499238,1.189274788,-2.78731e-05,0.360234424,89.0
280,4,22,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,RAW264.7,Mouse,Blood,Cancer,24,50.0,5.291613017,5.199886762,4.571266162,4.893673008,4.80193853,4.173361117,5.069764267,4.978043494,4.349394101,-32.02490298,-32.19204227,-31.31418197,-47.40639411,-47.66535789,-46.30532027,-21.77057555,-21.87682403,-21.31874864,4.707322058,4.799984853,4.313295046,5.884152573,6,5.39158728,3.922768382,4.0,3.594337091,146.9992082,67885.88694,1663195.271,-160.1245149,34.04933585,-1.089288282,-0.002358731,-9.62752e-05,2.010726106,1.549341847,3.972655497,2.688118417,2.179887099,4.849039153,1.559131231,51.3832981,71.06705325,0.004251591,-8.11336e-05,0.022675497,-0.092211333,-0.000161027,-0.483594957,0.068560207,1.128991611,3.388321323,1.534082593,1.216586983,2.884158927,2.051294301,1.71162882,3.495499238,1.189274788,-2.78731e-05,0.360234424,89.0
281,2,23,CeO2,18.3,TEM,261.6,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,ATP,BEAS-2B,Human,Lung,Normal,24,0.8,5.385809969,5.311923309,4.580172002,4.908688714,4.83566521,4.098366796,5.20971871,5.135399827,4.40640391,-35.12412446,-35.28691848,-34.24633622,-71.00863805,-71.29850254,-69.42559243,-17.18186767,-17.22734004,-16.93823048,5.23134003,5.335985957,4.667087343,7.847010045,8,7.011481422,3.923505022,4.0,3.513651342,182.8734582,105063.2572,3202213.53,-175.6206223,49.54544327,-0.960339593,-0.00167157,-5.48435e-05,0.417184193,0.000347295,2.664776109,0.538647078,0.000454276,3.477895534,0.35645275,64.81030015,88.99807992,0.008372547,-0.000204215,0.054618597,-0.171685396,-0.000180123,-1.108332273,0.098401518,0.000293645,2.264723393,0.261715658,5.34577e-05,1.672602865,0.263417415,8.87542e-05,1.701542113,0.260864779,-0.000216297,0.626787505,89.0
282,3,23,CeO2,18.3,TEM,261.6,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,LDH,BEAS-2B,Human,Lung,Normal,24,0.8,5.385809969,5.311923309,4.580172002,4.908688714,4.83566521,4.098366796,5.20971871,5.135399827,4.40640391,-35.12412446,-35.28691848,-34.24633622,-71.00863805,-71.29850254,-69.42559243,-17.18186767,-17.22734004,-16.93823048,5.23134003,5.335985957,4.667087343,7.847010045,8,7.011481422,3.923505022,4.0,3.513651342,182.8734582,105063.2572,3202213.53,-175.6206223,49.54544327,-0.960339593,-0.00167157,-5.48435e-05,0.417184193,0.000347295,2.664776109,0.538647078,0.000454276,3.477895534,0.35645275,64.81030015,88.99807992,0.008372547,-0.000204215,0.054618597,-0.171685396,-0.000180123,-1.108332273,0.098401518,0.000293645,2.264723393,0.261715658,5.34577e-05,1.672602865,0.263417415,8.87542e-05,1.701542113,0.260864779,-0.000216297,0.626787505,89.0
283,3,23,CeO2,18.3,TEM,261.6,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,LDH,BEAS-2B,Human,Lung,Normal,24,25.0,5.385809969,5.311923309,4.580172002,4.908688714,4.83566521,4.098366796,5.20971871,5.135399827,4.40640391,-35.12412446,-35.28691848,-34.24633622,-71.00863805,-71.29850254,-69.42559243,-17.18186767,-17.22734004,-16.93823048,5.23134003,5.335985957,4.667087343,7.847010045,8,7.011481422,3.923505022,4.0,3.513651342,182.8734582,105063.2572,3202213.53,-175.6206223,49.54544327,-0.960339593,-0.00167157,-5.48435e-05,0.417184193,0.000347295,2.664776109,0.538647078,0.000454276,3.477895534,0.35645275,64.81030015,88.99807992,0.008372547,-0.000204215,0.054618597,-0.171685396,-0.000180123,-1.108332273,0.098401518,0.000293645,2.264723393,0.261715658,5.34577e-05,1.672602865,0.263417415,8.87542e-05,1.701542113,0.260864779,-0.000216297,0.626787505,89.0
284,3,27,Fe2O3,12.3,TEM,206.3,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,LDH,BEAS-2B,Human,Lung,Normal,24,0.8,4.984887201,4.874377435,4.336419705,4.586947192,4.476976466,3.936614262,4.763038451,4.652168954,4.115810141,-29.7579684,-30.04603017,-28.76383799,-43.77181633,-44.1524091,-42.4510599,-20.41540311,-20.62229534,-19.70402091,4.678939739,4.800993563,4.257719605,5.848674674,6,5.323536218,3.899116449,4.0,3.55223652,122.9970742,47526.85398,974277.3307,-148.789842,22.71466296,-1.209702287,-0.003130648,-0.000152718,2.276465748,1.250222962,5.818133747,2.659840723,1.408678559,7.001700627,2.020882431,42.36549174,59.06782938,0.019292687,0.001355111,0.08119708,-0.03856636,0.014597542,-0.223059003,0.057865384,1.144367056,5.034709652,1.715136282,0.979258639,4.25472471,1.981810024,1.101907031,5.035303514,1.537353788,-0.007491465,0.282589624,89.0
285,1,10,Fe2O3,12.3,TEM,196.6,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,ATP,RAW264.7,Mouse,Blood,Cancer,24,100.0,4.984887201,4.874377435,4.336419705,4.586947192,4.476976466,3.936614262,4.763038451,4.652168954,4.115810141,-29.7579684,-30.04603017,-28.76383799,-43.77181633,-44.1524091,-42.4510599,-20.41540311,-20.62229534,-19.70402091,4.678939739,4.800993563,4.257719605,5.848674674,6,5.323536218,3.899116449,4.0,3.55223652,122.9970742,47526.85398,974277.3307,-148.789842,22.71466296,-1.209702287,-0.003130648,-0.000152718,2.276465748,1.250222962,5.818133747,2.659840723,1.408678559,7.001700627,2.020882431,42.36549174,59.06782938,0.019292687,0.001355111,0.08119708,-0.03856636,0.014597542,-0.223059003,0.057865384,1.144367056,5.034709652,1.715136282,0.979258639,4.25472471,1.981810024,1.101907031,5.035303514,1.537353788,-0.007491465,0.282589624,89.0
286,4,10,Fe2O3,12.3,TEM,196.6,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,LDH,RAW264.7,Mouse,Blood,Cancer,24,200.0,4.984887201,4.874377435,4.336419705,4.586947192,4.476976466,3.936614262,4.763038451,4.652168954,4.115810141,-29.7579684,-30.04603017,-28.76383799,-43.77181633,-44.1524091,-42.4510599,-20.41540311,-20.62229534,-19.70402091,4.678939739,4.800993563,4.257719605,5.848674674,6,5.323536218,3.899116449,4.0,3.55223652,122.9970742,47526.85398,974277.3307,-148.789842,22.71466296,-1.209702287,-0.003130648,-0.000152718,2.276465748,1.250222962,5.818133747,2.659840723,1.408678559,7.001700627,2.020882431,42.36549174,59.06782938,0.019292687,0.001355111,0.08119708,-0.03856636,0.014597542,-0.223059003,0.057865384,1.144367056,5.034709652,1.715136282,0.979258639,4.25472471,1.981810024,1.101907031,5.035303514,1.537353788,-0.007491465,0.282589624,89.0
287,2,11,Gd2O3,43.8,TEM,227.4,DLS,6.5,Zeta-potential,40.0,Manufacturer,-18.82,-2.83,-8.1,5.5,ATP,BEAS-2B,Human,Lung,Normal,24,0.4,6.447395277,6.41737137,5.272152701,6.049455269,6.019465248,4.873738997,6.225546528,6.195500028,5.050619461,-26.56635643,-26.62956528,-25.68328352,-39.66482468,-39.76334,-38.28688562,-17.83404426,-17.87257672,-17.29613719,4.761921521,4.800062424,4.229065803,5.952401902,6,5.286644733,3.968267935,4.0,3.525293249,438.0003367,602696.1186,43996850.49,-132.8317822,6.756603118,-0.303268676,-0.000220396,-3.01912e-06,0.546599403,0.370737947,3.003509894,0.562688416,0.353123275,3.493887356,0.535873394,160.4991508,216.5139486,0.001258844,0.00067469,0.009419895,-0.025670057,0.000972102,-0.398315363,0.019211444,0.382482588,2.677185126,0.411703902,0.290786644,2.101004591,0.413280087,0.276737161,2.323113355,0.410653113,0.00047639,0.280749888,89.0
288,2,11,Gd2O3,43.8,TEM,227.4,DLS,6.5,Zeta-potential,40.0,Manufacturer,-18.82,-2.83,-8.1,5.5,ATP,BEAS-2B,Human,Lung,Normal,24,3.2,6.447395277,6.41737137,5.272152701,6.049455269,6.019465248,4.873738997,6.225546528,6.195500028,5.050619461,-26.56635643,-26.62956528,-25.68328352,-39.66482468,-39.76334,-38.28688562,-17.83404426,-17.87257672,-17.29613719,4.761921521,4.800062424,4.229065803,5.952401902,6,5.286644733,3.968267935,4.0,3.525293249,438.0003367,602696.1186,43996850.49,-132.8317822,6.756603118,-0.303268676,-0.000220396,-3.01912e-06,0.546599403,0.370737947,3.003509894,0.562688416,0.353123275,3.493887356,0.535873394,160.4991508,216.5139486,0.001258844,0.00067469,0.009419895,-0.025670057,0.000972102,-0.398315363,0.019211444,0.382482588,2.677185126,0.411703902,0.290786644,2.101004591,0.413280087,0.276737161,2.323113355,0.410653113,0.00047639,0.280749888,89.0
289,2,11,Gd2O3,43.8,TEM,227.4,DLS,6.5,Zeta-potential,40.0,Manufacturer,-18.82,-2.83,-8.1,5.5,ATP,BEAS-2B,Human,Lung,Normal,24,6.3,6.447395277,6.41737137,5.272152701,6.049455269,6.019465248,4.873738997,6.225546528,6.195500028,5.050619461,-26.56635643,-26.62956528,-25.68328352,-39.66482468,-39.76334,-38.28688562,-17.83404426,-17.87257672,-17.29613719,4.761921521,4.800062424,4.229065803,5.952401902,6,5.286644733,3.968267935,4.0,3.525293249,438.0003367,602696.1186,43996850.49,-132.8317822,6.756603118,-0.303268676,-0.000220396,-3.01912e-06,0.546599403,0.370737947,3.003509894,0.562688416,0.353123275,3.493887356,0.535873394,160.4991508,216.5139486,0.001258844,0.00067469,0.009419895,-0.025670057,0.000972102,-0.398315363,0.019211444,0.382482588,2.677185126,0.411703902,0.290786644,2.101004591,0.413280087,0.276737161,2.323113355,0.410653113,0.00047639,0.280749888,89.0
290,1,15,In2O3,59.6,TEM,244.5,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,ATP,RAW264.7,Mouse,Blood,Cancer,24,25.0,6.93266677,6.910662604,5.626431734,6.534726761,6.512751883,5.227927819,6.71081802,6.688794328,5.404958516,-28.19011564,-28.2248076,-27.52260281,-42.09271316,-42.14628952,-41.06043384,-18.92171731,-18.94277646,-18.51688379,4.773632281,4.800053951,4.265249156,5.967040352,6,5.331992237,3.978026901,4.0,3.555623777,595.9994806,1115941.089,110850051.5,-140.9505782,14.87539919,-0.236494465,-0.000126306,-1.27154e-06,0.943886955,0.863782414,2.485189894,0.748196735,0.647358407,2.691093383,1.074347101,219.7528513,295.5154748,0.000340885,-7.52609e-06,0.007044706,-0.019928566,3.38616e-05,-0.404553483,0.013853852,1.008081302,2.348217511,0.731824734,0.6784056,1.759669934,0.569764054,0.508444846,1.751228346,0.839865187,-3.5121e-05,0.28085058,89.0
291,2,16,La2O3,24.6,TEM,155.1,DLS,54.3,Zeta-potential,30.0,Manufacturer,-18.668,-2.38,-8.15,5.38,ATP,BEAS-2B,Human,Lung,Normal,24,25.0,5.671640222,5.617348476,4.741726599,5.273700213,5.219563571,4.342620043,5.449791472,5.395396294,4.520653811,-25.15117385,-25.21817591,-24.64800932,-38.06178608,-38.16690139,-37.269997,-16.54409904,-16.58055181,-16.27090385,5.51324906,5.600581176,4.85741214,6.891561325,7,6.074738755,4.594374217,4.667079746,4.049482857,246.0001293,190116.6602,7794787.165,-125.7558693,-0.31930977,-0.511202452,-0.000661467,-1.61333e-05,0.990800247,0.863791704,1.944594739,0.827658834,0.674500682,1.98133427,1.099561189,88.48012805,120.5219966,0.003201919,-0.000262496,0.029218593,-0.044290711,-2.69222e-05,-0.377711072,0.034863672,0.990060865,1.920211026,0.759925058,0.678340746,1.372597757,0.618387517,0.529615676,1.287068167,0.854283418,-0.000419639,0.299294338,89.0
292,4,17,La2O3,24.6,TEM,162.6,DLS,54.3,Zeta-potential,30.0,Manufacturer,-18.668,-2.38,-8.15,5.38,LDH,RAW264.7,Mouse,Blood,Cancer,24,200.0,5.671640222,5.617348476,4.741726599,5.273700213,5.219563571,4.342620043,5.449791472,5.395396294,4.520653811,-25.15117385,-25.21817591,-24.64800932,-38.06178608,-38.16690139,-37.269997,-16.54409904,-16.58055181,-16.27090385,5.51324906,5.600581176,4.85741214,6.891561325,7,6.074738755,4.594374217,4.667079746,4.049482857,246.0001293,190116.6602,7794787.165,-125.7558693,-0.31930977,-0.511202452,-0.000661467,-1.61333e-05,0.990800247,0.863791704,1.944594739,0.827658834,0.674500682,1.98133427,1.099561189,88.48012805,120.5219966,0.003201919,-0.000262496,0.029218593,-0.044290711,-2.69222e-05,-0.377711072,0.034863672,0.990060865,1.920211026,0.759925058,0.678340746,1.372597757,0.618387517,0.529615676,1.287068167,0.854283418,-0.000419639,0.299294338,89.0
293,1,20,SiO2,13.5,TEM,46.4,DLS,-31.8,Zeta-potential,640.0,Manufacturer,-9.41,-2.02,-11.12,6.19,ATP,RAW264.7,Mouse,Blood,Cancer,24,0.4,5.010944135,4.911344076,4.322570724,4.53382288,4.434680657,3.843668723,4.834852875,4.735023717,4.147367108,-42.37929788,-42.62097261,-41.44172595,-81.12556254,-81.57540621,-79.37138496,-23.00616555,-23.11292382,-22.59306278,2.618281457,2.667369841,2.427844126,3.927422186,4,3.644403039,1.963711093,2.0,1.823290598,134.9999318,57255.41991,1288246.297,-211.8964894,85.82131037,-1.569604418,-0.003700898,-0.000164484,2.98757024,2.536715159,4.736652844,2.243028612,1.490474356,5.177634268,3.359841054,46.88054087,65.06247613,-0.011661671,-0.000606362,-0.054550506,-0.237269926,-5.21625e-05,-1.162307002,0.101142456,3.060663648,4.517512715,2.270227733,1.992088916,3.349261301,1.592064122,1.17109268,3.233653635,2.609309539,-0.0008839,0.495935041,89.0
294,3,5,CoO,71.8,TEM,208.3,DLS,21.6,Zeta-potential,13.0,Estimation,-2.476,-4.42,-6.83,5.74,LDH,BEAS-2B,Human,Lung,Normal,24,12.5,7.301299739,7.283009995,5.916610266,7.000269743,6.981961643,5.616006832,7.000269743,6.981998356,5.61515329,-20.00109892,-20.02140427,-19.52902486,-19.88095104,-19.90040678,-19.4290924,-20.1212468,-20.14239152,-19.62915391,5.973263012,6.0,5.351661281,5.973263012,6,5.352297763,5.973263012,6.0,5.351023547,717.9846115,1619495.621,193795489.1,-100.0054946,-26.06968442,-0.139286404,-6.1751e-05,-5.16036e-07,0.07422902,9.22341e-05,1.797817102,0.074270749,9.14928e-05,1.797080353,0.074187291,265.4971612,356.5077897,0.000444522,1.65593e-05,0.010394115,0.001888394,2.65428e-05,0.045129801,-0.000999351,9.29754e-05,1.798555299,0.050090457,2.91016e-05,1.213954728,0.050290965,2.90756e-05,1.217620895,0.04988995,6.57672e-06,-0.024409907,89.4
295,4,4,Mn2O3,51.5,TEM,291.7,DLS,-46.1,Zeta-potential,25.9,Estimation,-9.917,-4.65,-7.63,5.92,LDH,RAW264.7,Mouse,Blood,Cancer,24,6.3,6.833920946,6.808418277,5.590033326,6.435980937,6.410428646,5.192912967,6.612072196,6.586602606,5.367637283,-30.13156934,-30.17368534,-29.43521225,-45.00347397,-45.0715769,-43.87969361,-20.21696626,-20.24364875,-19.77520088,4.771439188,4.799908597,4.30071837,5.964298985,6,5.375189195,3.976199323,4.0,3.582146334,515.0001963,833228.8429,71518836.27,-150.6578467,24.58266767,-0.292539397,-0.000180812,-2.10655e-06,1.226956433,1.111428214,3.137130878,0.61840191,0.461561591,3.206456279,1.632659448,189.3784429,255.013659,0.001237108,-5.01058e-06,0.021774621,-0.025451547,0.000122284,-0.447450591,0.019029544,1.544590136,3.090768246,0.950733332,0.872874737,2.23806814,0.460898009,0.362431298,2.085717458,1.277290213,-8.98577e-05,0.335577572,89.8
