rownum,bioassay_id,material_id,cell_type_id,nanoparticle,type_organic_inorganic,coat,diameter,dose,zeta_potential,cell_type,cell_line_or_primary,human_or_animal,animal_species,cell_morphology,cell_age_embryonic_or_adult,cell_organ_or_tissue,exposure_time,test_assay,test_indicator,biochemical_metric,cell_viability,inference_checked_y_n,colloidal_stability_checked_y_n,positive_control_y_n,publication_year,particle_id,reference_doi
1510,5,100,4,MgO,I,,639.0,1.697599499e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,70.786514,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1511,5,100,4,MgO,I,,639.0,3.395198998e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,62.92135,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1512,6,100,4,MgO,I,,639.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,46.845966,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1513,6,100,4,MgO,I,,639.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,46.819355,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1514,6,100,4,MgO,I,,639.0,3.395198e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,44.917744,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1515,6,100,4,MgO,I,,639.0,3.3951989e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,37.38871,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1516,6,100,4,MgO,I,,639.0,1.69759949e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,37.362095,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1517,6,100,4,MgO,I,,639.0,3.39519899e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,35.45806,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1518,6,100,4,MgO,I,,639.0,6.79039799e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,27.93145,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1519,6,100,4,MgO,I,,639.0,1.697599499e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,14.77742,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1520,6,100,4,MgO,I,,639.0,3.395198998e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,12.87581,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1521,6,100,4,MgO,I,,639.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,42.050808,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1522,6,100,4,MgO,I,,639.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,45.774193,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1523,6,100,4,MgO,I,,639.0,3.395198e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,41.99758,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1524,6,100,4,MgO,I,,639.0,3.3951989e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,32.59597,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1525,6,100,4,MgO,I,,639.0,1.69759949e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,32.56693,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1526,6,100,4,MgO,I,,639.0,3.39519899e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,26.9129,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1527,6,100,4,MgO,I,,639.0,6.79039799e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,21.25887,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1528,6,100,4,MgO,I,,639.0,1.697599499e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,4.35726,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1529,6,100,4,MgO,I,,639.0,3.395198998e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,2.45564,N,Y,N,2011,59,10.1007/s10565-011-9191-9
1530,71,101,51,Al2O3,I,,28.0,0.0001828730254,,CHO-K1,L,A,hamster,Epithelial,A,Ovary,24,NR,toluylene red,lysosomal uptake,99.13043,N,N,N,2010,60,10.1016/j.jhazmat.2009.12.089
1531,71,101,51,Al2O3,I,,28.0,0.0003657460508,,CHO-K1,L,A,hamster,Epithelial,A,Ovary,24,NR,toluylene red,lysosomal uptake,100.86957,N,N,N,2010,60,10.1016/j.jhazmat.2009.12.089
1532,71,101,51,Al2O3,I,,28.0,0.0009143651271,,CHO-K1,L,A,hamster,Epithelial,A,Ovary,24,NR,toluylene red,lysosomal uptake,99.565216,N,N,N,2010,60,10.1016/j.jhazmat.2009.12.089
1533,71,101,51,Al2O3,I,,28.0,0.001828730254,,CHO-K1,L,A,hamster,Epithelial,A,Ovary,24,NR,toluylene red,lysosomal uptake,93.91304,N,N,N,2010,60,10.1016/j.jhazmat.2009.12.089
1534,71,101,51,Al2O3,I,,28.0,0.003657460508,,CHO-K1,L,A,hamster,Epithelial,A,Ovary,24,NR,toluylene red,lysosomal uptake,76.08696,N,N,N,2010,60,10.1016/j.jhazmat.2009.12.089
1535,72,101,51,Al2O3,I,,28.0,0.0001828730254,,CHO-K1,L,A,hamster,Epithelial,A,Ovary,24,MTT,tetrazolium salt,cell metabolic activity,80.66091,N,N,N,2010,60,10.1016/j.jhazmat.2009.12.089
1536,72,101,51,Al2O3,I,,28.0,0.0009143651271,,CHO-K1,L,A,hamster,Epithelial,A,Ovary,24,MTT,tetrazolium salt,cell metabolic activity,73.54821,N,N,N,2010,60,10.1016/j.jhazmat.2009.12.089
1537,72,101,51,Al2O3,I,,28.0,0.001828730254,,CHO-K1,L,A,hamster,Epithelial,A,Ovary,24,MTT,tetrazolium salt,cell metabolic activity,67.09848,N,N,N,2010,60,10.1016/j.jhazmat.2009.12.089
1538,72,101,51,Al2O3,I,,28.0,0.003657460508,,CHO-K1,L,A,hamster,Epithelial,A,Ovary,24,MTT,tetrazolium salt,cell metabolic activity,79.43144,N,N,N,2010,60,10.1016/j.jhazmat.2009.12.089
1539,5,102,4,Al2O3,I,,239.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1540,5,102,4,Al2O3,I,,239.0,5.881119e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,95.505615,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1541,5,102,4,Al2O3,I,,239.0,5.8811199e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1542,5,102,4,Al2O3,I,,239.0,5.88111994e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,101.1236,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1543,5,102,4,Al2O3,I,,239.0,2.940559971e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1544,5,102,4,Al2O3,I,,239.0,5.881119942e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1545,5,102,4,Al2O3,I,,239.0,1.176223988e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,95.505615,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1546,5,102,4,Al2O3,I,,239.0,2.940559971e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,98.8764,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1547,5,102,4,Al2O3,I,,239.0,5.881119942e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,93.25843,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1548,5,102,4,Al2O3,I,,239.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,93.25843,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1549,5,102,4,Al2O3,I,,239.0,5.881119e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1550,5,102,4,Al2O3,I,,239.0,5.8811199e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,94.38202,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1551,5,102,4,Al2O3,I,,239.0,5.88111994e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1552,5,102,4,Al2O3,I,,239.0,2.940559971e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,95.505615,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1553,5,102,4,Al2O3,I,,239.0,5.881119942e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1554,5,102,4,Al2O3,I,,239.0,1.176223988e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,92.134834,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1555,5,102,4,Al2O3,I,,239.0,2.940559971e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,92.134834,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1556,5,102,4,Al2O3,I,,239.0,5.881119942e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,83.146065,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1557,6,102,4,Al2O3,I,,239.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,42.82016,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1558,6,102,4,Al2O3,I,,239.0,5.881119e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,40.91613,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1559,6,102,4,Al2O3,I,,239.0,5.8811199e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,44.639515,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1560,6,102,4,Al2O3,I,,239.0,5.88111994e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,37.112904,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1561,6,102,4,Al2O3,I,,239.0,2.940559971e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,33.33629,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1562,6,102,4,Al2O3,I,,239.0,5.881119942e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,35.18226,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1563,6,102,4,Al2O3,I,,239.0,1.176223988e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,35.15323,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1564,6,102,4,Al2O3,I,,239.0,2.940559971e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,33.25161,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1565,6,102,4,Al2O3,I,,239.0,5.881119942e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,33.22258,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1566,6,102,4,Al2O3,I,,239.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,43.65,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1567,6,102,4,Al2O3,I,,239.0,5.881119e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,45.495968,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1568,6,102,4,Al2O3,I,,239.0,5.8811199e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,43.594357,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1569,6,102,4,Al2O3,I,,239.0,5.88111994e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,34.19274,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1570,6,102,4,Al2O3,I,,239.0,2.940559971e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,36.03871,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1571,6,102,4,Al2O3,I,,239.0,5.881119942e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,32.2621,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1572,6,102,4,Al2O3,I,,239.0,1.176223988e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,32.23548,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1573,6,102,4,Al2O3,I,,239.0,2.940559971e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,26.58145,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1574,6,102,4,Al2O3,I,,239.0,5.881119942e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,26.55242,N,Y,N,2011,61,10.1007/s10565-011-9191-9
1575,113,103,74,Al2O3,I,,45.0,0.0008810817347,,SH-SY5Y,L,H,Human,Epithelial,A,Bone marrow,48,ApoTox-Glo Triplex,Caspase-Glo 3/7 Reagent,protease activity,57.90178,N,N,N,2015,62,10.1039/C5NR03598H
1576,113,103,74,Al2O3,I,,45.0,0.001101352168,,SH-SY5Y,L,H,Human,Epithelial,A,Bone marrow,48,ApoTox-Glo Triplex,Caspase-Glo 3/7 Reagent,protease activity,46.724808,N,N,N,2015,62,10.1039/C5NR03598H
1577,113,103,74,Al2O3,I,,45.0,0.001321622602,,SH-SY5Y,L,H,Human,Epithelial,A,Bone marrow,48,ApoTox-Glo Triplex,Caspase-Glo 3/7 Reagent,protease activity,38.63421,N,N,N,2015,62,10.1039/C5NR03598H
1578,114,104,75,QDs,I,D-penicillamine (NH2/COOH),5.4,0.05,,SVEC4-10,L,A,Mouse,Endothelial,A,axillary lymph node,24,MTS,tetrazolium salt,cell metabolic activity,105.0,N,N,N,2015,63,10.3762/bjnano.6.28
1579,114,104,75,QDs,I,D-penicillamine (NH2/COOH),5.4,0.5,,SVEC4-10,L,A,Mouse,Endothelial,A,axillary lymph node,24,MTS,tetrazolium salt,cell metabolic activity,89.09091,N,N,N,2015,63,10.3762/bjnano.6.28
1580,114,105,75,QDs,I,3-mercaptopropionic acid (COOH),5.4,0.05,,SVEC4-10,L,A,Mouse,Endothelial,A,axillary lymph node,24,MTS,tetrazolium salt,cell metabolic activity,94.393936,N,N,N,2015,63,10.3762/bjnano.6.28
1581,114,105,75,QDs,I,3-mercaptopropionic acid (COOH),5.4,0.5,,SVEC4-10,L,A,Mouse,Endothelial,A,axillary lymph node,24,MTS,tetrazolium salt,cell metabolic activity,44.545456,N,N,N,2015,63,10.3762/bjnano.6.28
1582,114,106,75,QDs,I,cysteamine (NH2),5.4,0.05,,SVEC4-10,L,A,Mouse,Endothelial,A,axillary lymph node,24,MTS,tetrazolium salt,cell metabolic activity,29.69697,N,N,N,2015,63,10.3762/bjnano.6.28
1583,114,106,75,QDs,I,cysteamine (NH2),5.4,0.5,,SVEC4-10,L,A,Mouse,Endothelial,A,axillary lymph node,24,MTS,tetrazolium salt,cell metabolic activity,24.040403,N,N,N,2015,63,10.3762/bjnano.6.28
1584,115,104,76,QDs,I,D-penicillamine (NH2/COOH),5.4,0.05,,HMEC-1,L,H,Human,Endothelial,E,Skin,24,MTS,tetrazolium salt,cell metabolic activity,109.803925,N,N,N,2015,63,10.3762/bjnano.6.28
1585,115,104,76,QDs,I,D-penicillamine (NH2/COOH),5.4,0.5,,HMEC-1,L,H,Human,Endothelial,E,Skin,24,MTS,tetrazolium salt,cell metabolic activity,111.86275,N,N,N,2015,63,10.3762/bjnano.6.28
1586,115,105,76,QDs,I,3-mercaptopropionic acid (COOH),5.4,0.05,,HMEC-1,L,H,Human,Endothelial,E,Skin,24,MTS,tetrazolium salt,cell metabolic activity,111.17647,N,N,N,2015,63,10.3762/bjnano.6.28
1587,115,105,76,QDs,I,3-mercaptopropionic acid (COOH),5.4,0.5,,HMEC-1,L,H,Human,Endothelial,E,Skin,24,MTS,tetrazolium salt,cell metabolic activity,56.960785,N,N,N,2015,63,10.3762/bjnano.6.28
1588,115,106,76,QDs,I,cysteamine (NH2),5.4,0.05,,HMEC-1,L,H,Human,Endothelial,E,Skin,24,MTS,tetrazolium salt,cell metabolic activity,85.09804,N,N,N,2015,63,10.3762/bjnano.6.28
1589,115,106,76,QDs,I,cysteamine (NH2),5.4,0.5,,HMEC-1,L,H,Human,Endothelial,E,Skin,24,MTS,tetrazolium salt,cell metabolic activity,22.647058,N,N,N,2015,63,10.3762/bjnano.6.28
1590,116,107,77,QDs,I,cysteamine,2.8,0.1165078146,,PC12,L,A,Rat,Irregular,A,adrenal gland,24,Alamar blue,Alamar blue,cell metabolic activity,101.47059,N,N,N,2009,64,10.1111/j.1742-4658.2009.07324.x
1591,116,107,77,QDs,I,cysteamine,2.8,0.4660312583,,PC12,L,A,Rat,Irregular,A,adrenal gland,24,Alamar blue,Alamar blue,cell metabolic activity,93.52941,N,N,N,2009,64,10.1111/j.1742-4658.2009.07324.x
1592,116,108,77,QDs,I,Zn then cysteamine,10.0,0.002724569275,,PC12,L,A,Rat,Irregular,A,adrenal gland,24,Alamar blue,Alamar blue,cell metabolic activity,96.17647,N,N,N,2009,64,10.1111/j.1742-4658.2009.07324.x
1593,116,108,77,QDs,I,Zn then cysteamine,10.0,0.0108982771,,PC12,L,A,Rat,Irregular,A,adrenal gland,24,Alamar blue,Alamar blue,cell metabolic activity,99.70588,N,N,N,2009,64,10.1111/j.1742-4658.2009.07324.x
1594,63,109,44,QDs,I,COOH,10.0,0.0005,,MG-63,L,H,Human,Fibroblast,A,Bone,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,91.22807,N,N,N,2012,65,10.1007/s10856-012-4716-1
1595,63,109,44,QDs,I,COOH,10.0,0.005,,MG-63,L,H,Human,Fibroblast,A,Bone,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,83.4308,N,N,N,2012,65,10.1007/s10856-012-4716-1
1596,63,109,44,QDs,I,COOH,10.0,0.05,,MG-63,L,H,Human,Fibroblast,A,Bone,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,62.183235,N,N,N,2012,65,10.1007/s10856-012-4716-1
1597,62,109,43,QDs,I,COOH,10.0,0.0005,,HeLa,L,H,Human,Epithelial,A,Cervix,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,92.39766,N,N,N,2012,65,10.1007/s10856-012-4716-1
1598,62,109,43,QDs,I,COOH,10.0,0.005,,HeLa,L,H,Human,Epithelial,A,Cervix,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,80.89668,N,N,N,2012,65,10.1007/s10856-012-4716-1
1599,62,109,43,QDs,I,COOH,10.0,0.05,,HeLa,L,H,Human,Epithelial,A,Cervix,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,58.08967,N,N,N,2012,65,10.1007/s10856-012-4716-1
1600,117,110,78,QDs,I,,6.0,0.84,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,103.432846,N,N,N,2008,66,10.1186/1477-3155-6-11
1601,117,110,78,QDs,I,,6.0,4.2,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,90.697075,N,N,N,2008,66,10.1186/1477-3155-6-11
1602,117,110,78,QDs,I,,6.0,21.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,87.85603,N,N,N,2008,66,10.1186/1477-3155-6-11
1603,117,110,78,QDs,I,,6.0,105.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,88.31259,N,N,N,2008,66,10.1186/1477-3155-6-11
1604,117,111,78,QDs,I,SGF,6.0,0.84,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,70.73299,N,N,N,2008,66,10.1186/1477-3155-6-11
1605,117,111,78,QDs,I,SGF,6.0,4.2,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,53.14136,N,N,N,2008,66,10.1186/1477-3155-6-11
1606,117,112,78,QDs,I,,2.5,25.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,85.078125,N,N,N,2008,66,10.1186/1477-3155-6-11
1607,117,112,78,QDs,I,,2.5,50.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,80.625,N,N,N,2008,66,10.1186/1477-3155-6-11
1608,117,112,78,QDs,I,,2.5,100.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,88.59375,N,N,N,2008,66,10.1186/1477-3155-6-11
1609,117,112,78,QDs,I,,2.5,200.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,28.828125,N,N,N,2008,66,10.1186/1477-3155-6-11
1610,117,113,78,QDs,I,SGF,2.5,12.5,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,114.296875,N,N,N,2008,66,10.1186/1477-3155-6-11
1611,117,113,78,QDs,I,SGF,2.5,25.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,105.0,N,N,N,2008,66,10.1186/1477-3155-6-11
1612,117,113,78,QDs,I,SGF,2.5,50.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,76.015625,N,N,N,2008,66,10.1186/1477-3155-6-11
1613,117,114,78,QDs,I,,1.5,25.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,73.59375,N,N,N,2008,66,10.1186/1477-3155-6-11
1614,117,114,78,QDs,I,,1.5,50.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,32.109375,N,N,N,2008,66,10.1186/1477-3155-6-11
1615,117,114,78,QDs,I,,1.5,100.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,24.609375,N,N,N,2008,66,10.1186/1477-3155-6-11
1616,117,114,78,QDs,I,,1.5,200.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,5.859375,N,N,N,2008,66,10.1186/1477-3155-6-11
1617,117,115,78,QDs,I,SGF,1.5,12.5,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,106.09375,N,N,N,2008,66,10.1186/1477-3155-6-11
1618,117,115,78,QDs,I,SGF,1.5,25.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,88.59375,N,N,N,2008,66,10.1186/1477-3155-6-11
1619,117,115,78,QDs,I,SGF,1.5,50.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,78.75,N,N,N,2008,66,10.1186/1477-3155-6-11
1620,117,116,78,QDs,I,,1.4,25.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,4.921875,N,N,N,2008,66,10.1186/1477-3155-6-11
1621,117,116,78,QDs,I,,1.4,50.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,4.921875,N,N,N,2008,66,10.1186/1477-3155-6-11
1622,117,116,78,QDs,I,,1.4,100.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,2.578125,N,N,N,2008,66,10.1186/1477-3155-6-11
1623,117,116,78,QDs,I,,1.4,200.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,3.984375,N,N,N,2008,66,10.1186/1477-3155-6-11
1624,117,117,78,QDs,I,SGF,1.4,12.5,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,105.546875,N,N,N,2008,66,10.1186/1477-3155-6-11
1625,117,117,78,QDs,I,SGF,1.4,25.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,67.265625,N,N,N,2008,66,10.1186/1477-3155-6-11
1626,117,117,78,QDs,I,SGF,1.4,50.0,,Caco-2,L,H,Human,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,63.4375,N,N,N,2008,66,10.1186/1477-3155-6-11
1627,118,118,79,QDs,I,,25.0,0.01,,SK-BR-3,L,H,Human,Epithelial,A,Breast,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.2446232,N,N,N,2006,67,10.1002/smll.200600218
1628,118,118,79,QDs,I,,25.0,0.025,,SK-BR-3,L,H,Human,Epithelial,A,Breast,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,91.873743,N,N,N,2006,67,10.1002/smll.200600218
1629,118,118,79,QDs,I,,25.0,0.05,,SK-BR-3,L,H,Human,Epithelial,A,Breast,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,78.410955,N,N,N,2006,67,10.1002/smll.200600218
1630,118,118,79,QDs,I,,25.0,0.1,,SK-BR-3,L,H,Human,Epithelial,A,Breast,24,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,15.895096,N,N,N,2006,67,10.1002/smll.200600218
